ins,lat,lon,cluster,cluster_lat,cluster_lon
21004,50.7691111100000,3.4788333330000,25,50.6903128092095,3.4288941565606
21015,50.7218611100000,4.4622222220000,29,50.8329421388199,4.3936786997047
21005,51.1645555600000,4.5138055560000,6,51.2014560114874,4.5132481296916
21009,50.7693055600000,3.8727777780000,4,50.8317876779784,3.9071764284863
21013,50.8617500000000,4.4537222220000,29,50.8329421388199,4.3936786997047
21001,50.4218888900000,4.5400000000000,19,50.5257175866044,4.5936105896582
21012,51.0957500000000,4.3554444440000,24,51.0931896568842,4.2260067625731
21011,51.2006388900000,5.0989722220000,7,51.2537213842190,4.9065426351020
21003,50.2449166700000,4.7093333330000,13,50.3200405866547,4.8978951661280
21008,50.5216666700000,5.2411944440000,14,50.5845498603897,5.2629661316003
21010,51.1610833300000,4.6674166670000,6,51.2014560114874,4.5132481296916
21006,50.3532777800000,5.0082777780000,13,50.3200405866547,4.8978951661280
21019,50.8711944400000,4.3883888890000,29,50.8329421388199,4.3936786997047
21002,50.5390277800000,5.8731944440000,26,50.6256799966047,5.9081545191973
21017,50.6216944400000,3.6159166670000,25,50.6903128092095,3.4288941565606
21016,50.8835000000000,4.3344166670000,29,50.8329421388199,4.3936786997047
21007,50.3768333300000,4.6272777780000,19,50.5257175866044,4.5936105896582
21018,50.8180000000000,4.4263888890000,29,50.8329421388199,4.3936786997047
21014,50.4263055600000,6.0233888890000,1,50.3542061889825,6.0247399500887
25112,51.1034166700000,3.9986944440000,18,51.0950750617345,3.8409601932516
25050,50.7166111100000,3.9392222220000,4,50.8317876779784,3.9071764284863
25043,49.6829166700000,5.8139722220000,11,49.7211159962957,5.6246779059170
25005,51.4007500000000,4.7616388890000,7,51.2537213842190,4.9065426351020
25018,50.7246388900000,4.5353888890000,29,50.8329421388199,4.3936786997047
25091,51.1011944400000,4.4634166670000,6,51.2014560114874,4.5132481296916
25121,50.5493611100000,5.0834166670000,14,50.5845498603897,5.2629661316003
25120,50.8566666700000,3.6086111110000,15,50.8847853925361,3.5828928947646
25118,50.7665000000000,5.5613611110000,20,50.6406250583419,5.5846802510550
25084,50.7176944400000,5.0053333330000,23,50.8030471054862,4.9740510138819
25122,51.1443611100000,3.6743888890000,18,51.0950750617345,3.8409601932516
25048,50.9096111100000,3.6168055560000,15,50.8847853925361,3.5828928947646
25119,50.1923611100000,5.0041111110000,13,50.3200405866547,4.8978951661280
25037,51.0765000000000,4.7349444440000,5,50.9312440844034,4.7131468405321
25072,50.8720555600000,4.7571388890000,5,50.9312440844034,4.7131468405321
25110,50.9376388900000,4.9817222220000,23,50.8030471054862,4.9740510138819
25014,50.4663888900000,4.8608333330000,13,50.3200405866547,4.8978951661280
25123,50.7170833300000,4.6098888890000,19,50.5257175866044,4.5936105896582
25068,51.1158333300000,2.6875000000000,21,50.9803368347700,2.7763755159335
25015,50.1771111100000,4.4646111110000,2,50.1535899618397,4.3780437662493
25117,51.1202222200000,5.2665277780000,8,50.9824241032787,5.2838478336215
25124,49.6243333300000,5.4566944440000,11,49.7211159962957,5.6246779059170
25044,50.8446388900000,4.2694722220000,29,50.8329421388199,4.3936786997047
25031,50.4287777800000,4.5566388890000,19,50.5257175866044,4.5936105896582
25105,50.4086944400000,3.8375277780000,27,50.4778217880081,3.7967269591730
25023,51.0476111100000,5.3284166670000,8,50.9824241032787,5.2838478336215
25107,50.8018333300000,5.4632222220000,20,50.6406250583419,5.5846802510550
23027,50.1311388900000,5.1456666670000,12,49.9366855968121,5.1309498911424
23032,51.1252777800000,4.3347222220000,24,51.0931896568842,4.2260067625731
23009,49.8672222200000,4.8913333330000,12,49.9366855968121,5.1309498911424
23033,50.8756388900000,3.8343611110000,4,50.8317876779784,3.9071764284863
23023,50.3148611100000,4.1320000000000,17,50.4338847159527,4.2436339653860
23077,50.4622222200000,5.9905555560000,1,50.3542061889825,6.0247399500887
